0,Combat,Rider
diagnostics_Image-original_Mean,0.01568230940978386,0.0759593671770376
diagnostics_Image-original_Minimum,1.7462114432622753e-33,
diagnostics_Image-original_Maximum,0.0024530736824712775,0.15033430558949987
diagnostics_Mask-original_VoxelNum,0.9999011793499307,0.9999991583345141
diagnostics_Mask-original_VolumeNum,0.041171341101377074,
original_shape_Elongation,0.028615571414898736,0.015076246718334999
original_shape_Flatness,0.00022446904151317832,0.01401587304323124
original_shape_LeastAxisLength,0.4742626117148484,0.6915322900051415
original_shape_MajorAxisLength,0.4572531771707594,0.7524221160501623
original_shape_Maximum2DDiameterColumn,0.5962727300618891,0.831827400091415
original_shape_Maximum2DDiameterRow,0.5849272509349688,0.8152863352572434
original_shape_Maximum2DDiameterSlice,0.596516232200284,0.8042925500113908
original_shape_Maximum3DDiameter,0.6025663652381662,0.7924848535188787
original_shape_MeshVolume,1.0,0.9999999999999998
original_shape_MinorAxisLength,0.5446692257003658,0.8698816105701707
original_shape_Sphericity,0.028776342563292787,0.0028241327073941238
original_shape_SurfaceArea,0.8455406782092963,0.9195007937323484
original_shape_SurfaceVolumeRatio,0.2506577209417285,0.3787864606266769
original_shape_VoxelVolume,0.9999011793499307,0.9999991583345141
original_firstorder_10Percentile,0.13067521172405763,0.4291413335682519
original_firstorder_90Percentile,0.10896652654613852,0.03422486249138824
original_firstorder_Energy,0.19198318747592616,0.8978960043797128
original_firstorder_Entropy,0.01047627824402608,0.35599859670476497
original_firstorder_InterquartileRange,0.03173288774153009,0.2802155934976464
original_firstorder_Kurtosis,0.09783050588432615,0.22874134209303162
original_firstorder_Maximum,0.07981869779696245,0.22532705109786244
original_firstorder_MeanAbsoluteDeviation,0.012084013358113216,0.39894885498815136
original_firstorder_Mean,0.16027126926054783,0.23581678164059364
original_firstorder_Median,0.17863738117803832,0.10019182967132839
original_firstorder_Minimum,0.11368444487707594,0.02140371669603897
original_firstorder_Range,0.16350530037031968,0.2258888473838983
original_firstorder_RobustMeanAbsoluteDeviation,0.022681809231273078,0.32856042109141415
original_firstorder_RootMeanSquared,0.13315576101079166,0.33158789215981727
original_firstorder_Skewness,0.2722457132514498,0.11492422374656923
original_firstorder_TotalEnergy,0.19198318747592616,0.8978960043797128
original_firstorder_Uniformity,0.04424438637256692,0.25213683481458
original_firstorder_Variance,0.0030770391904508727,0.37989511157721123
original_glcm_Autocorrelation,0.45837157148533936,0.21262064914406192
original_glcm_ClusterProminence,0.011930823959068802,0.11684528108350493
original_glcm_ClusterShade,0.15648278837036567,0.07116304403786343
original_glcm_ClusterTendency,0.004808227328306258,0.3793791250682811
original_glcm_Contrast,0.10693744609151953,0.24392603042464836
original_glcm_Correlation,0.22234436196544446,0.13666612066887773
original_glcm_DifferenceAverage,0.17697040818107693,0.23815160180944112
original_glcm_DifferenceEntropy,0.110157964501475,0.2588791123764309
original_glcm_DifferenceVariance,0.05070023963094418,0.2655882821965067
original_glcm_Id,0.29033935376613423,0.1254764954024124
original_glcm_Idm,0.30448363296992903,0.09728205737541117
original_glcm_Idmn,0.21706445878847114,0.3601755546797378
original_glcm_Idn,0.308867197938485,0.3833396176662309
original_glcm_Imc1,0.06791741151021177,0.21844658543647
original_glcm_Imc2,0.11055068430489894,0.5496051376854152
original_glcm_InverseVariance,0.25648971515554764,0.10264006378102097
original_glcm_JointAverage,0.42814256236256526,0.19200736333532198
original_glcm_JointEnergy,0.0069044859902440145,0.09545948360006633
original_glcm_JointEntropy,0.004917705367583889,0.20618411769561457
original_glcm_MCC,0.04162477228314406,0.00938030030272433
original_glcm_MaximumProbability,0.03958322694868791,0.011491234041929027
original_glcm_SumAverage,0.42814256241903076,0.19200736333532128
original_glcm_SumEntropy,0.0024221643365959734,0.36270442777993894
original_glcm_SumSquares,0.02144369461023713,0.36312067259773084
original_gldm_DependenceEntropy,0.23731985993077695,0.21381171774699292
original_gldm_DependenceNonUniformity,0.8223143313060356,0.9745258021262954
original_gldm_DependenceNonUniformityNormalized,0.2640936747008415,0.14604739918959636
original_gldm_DependenceVariance,0.37095451410461155,0.02009910016385522
original_gldm_GrayLevelNonUniformity,0.894354374323725,0.9628330494074993
original_gldm_GrayLevelVariance,0.0029896016178220003,0.3812461631717231
original_gldm_HighGrayLevelEmphasis,0.45848856755571377,0.23416830658389956
original_gldm_LargeDependenceEmphasis,0.4555393852900586,0.09179726846645983
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.6271397100926535,0.11244451166614695
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.07089831541431535,0.017030758886217506
original_gldm_LowGrayLevelEmphasis,0.14716513915019486,0.12123523026003638
original_gldm_SmallDependenceEmphasis,0.28693761464755624,0.24037070944625544
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.10016420919461042,0.00040970582331525935
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.1727670688716506,0.18149324929545352
original_glrlm_GrayLevelNonUniformity,0.927885784615444,0.976977479940912
original_glrlm_GrayLevelNonUniformityNormalized,0.007614873131695892,0.2722203289303517
original_glrlm_GrayLevelVariance,0.00012241403239835253,0.38992973528649016
original_glrlm_HighGrayLevelRunEmphasis,0.451282058882307,0.24209323602901697
original_glrlm_LongRunEmphasis,0.4773579140900252,0.12676509951089618
original_glrlm_LongRunHighGrayLevelEmphasis,0.6041165752535794,0.2319968857439436
original_glrlm_LongRunLowGrayLevelEmphasis,0.14392800190464047,0.09231678541604567
original_glrlm_LowGrayLevelRunEmphasis,0.15290160775716738,0.1317435120120267
original_glrlm_RunEntropy,0.11372320124154157,0.4111635906849949
original_glrlm_RunLengthNonUniformity,0.9687055045809323,0.9974657323119717
original_glrlm_RunLengthNonUniformityNormalized,0.40730594704084194,0.14941119837380187
original_glrlm_RunPercentage,0.4336291357523394,0.1371767861894499
original_glrlm_RunVariance,0.4810592116645196,0.11479830174946547
original_glrlm_ShortRunEmphasis,0.4267859201532157,0.1458927423862241
original_glrlm_ShortRunHighGrayLevelEmphasis,0.4031972213661532,0.23831347870429792
original_glrlm_ShortRunLowGrayLevelEmphasis,0.15437810671972038,0.14033478296258278
original_glszm_GrayLevelNonUniformity,0.8703448802307049,0.9615598162576318
original_glszm_GrayLevelNonUniformityNormalized,0.03543605758987135,0.5122132513472102
original_glszm_GrayLevelVariance,0.00121893269461976,0.34043924795603564
original_glszm_HighGrayLevelZoneEmphasis,0.3674744294265956,0.3307294758902876
original_glszm_LargeAreaEmphasis,0.6304021306900891,0.09640438090476604
original_glszm_LargeAreaHighGrayLevelEmphasis,0.5960502359660668,0.09619243271490943
original_glszm_LargeAreaLowGrayLevelEmphasis,0.36908530588987754,0.09246911329833335
original_glszm_LowGrayLevelZoneEmphasis,0.20221998936167948,0.1671921155279328
original_glszm_SizeZoneNonUniformity,0.7316321275904565,0.9793217777799785
original_glszm_SizeZoneNonUniformityNormalized,0.022463534189284005,0.36448687659773493
original_glszm_SmallAreaEmphasis,0.018139708358242992,0.3976921158933407
original_glszm_SmallAreaHighGrayLevelEmphasis,0.33434416977516124,0.2225317556359501
original_glszm_SmallAreaLowGrayLevelEmphasis,0.2074983546662966,0.18871287196596967
original_glszm_ZoneEntropy,0.13969523633482275,0.03409398495389722
original_glszm_ZonePercentage,0.2918656612330235,0.2236743056549204
original_glszm_ZoneVariance,0.6300190183782539,0.09635743040549964
original_ngtdm_Busyness,0.14694373228446403,0.9686398200172643
original_ngtdm_Coarseness,0.07053805584984617,0.13496672997688572
original_ngtdm_Complexity,0.017034660008125296,0.02287286397579601
original_ngtdm_Contrast,0.13348448124787105,0.3036159937679636
original_ngtdm_Strength,0.11413960206948882,0.15322295096232838
