Timestep,Spacing
rider1,0.42345010620124995
rider10,0.6352669723512501
rider11,0.40101969604499993
rider12,0.43777961151125006
rider13,0.37384033203125
rider14,0.762939453125
rider15,0.551222924805
rider16,0.4291541748049999
rider17,0.7439844528199999
rider18,0.71415353485125
rider19,0.5192752624512499
rider2,0.56755521698
rider20,0.41496771698
rider21,0.4291541748049999
rider22,0.684932968445
rider23,0.67413330078125
rider24,0.48828125
rider25,0.54153898651125
rider26,0.49133758026124996
rider27,0.32234128418
rider28,0.560994357605
rider29,0.8371393161012498
rider3,0.3373905749512499
rider30,0.584125946045
rider31,0.5067638562012501
rider4,0.6885537841799999
rider5,0.55772823120125
rider6,0.584125946045
rider7,1.03547993042
rider8,0.78599979370125
rider9,0.67772365448
